1,1,"2017-11-13",448
1,1,"2017-11-14",448
1,1,"2017-11-15",448
1,1,"2017-11-16",448
1,1,"2017-11-17",448
1,1,"2017-11-20",448
1,1,"2017-11-21",448
1,1,"2017-11-22",448
1,1,"2017-11-23",448
1,1,"2017-11-24",448
1,1,"2017-11-27",448
1,1,"2017-11-28",448
1,1,"2017-11-29",448
1,1,"2017-11-30",448
1,1,"2017-12-01",448
1,1,"2017-12-04",448
1,1,"2017-12-05",448
1,1,"2017-12-06",448
1,1,"2017-12-07",448
1,1,"2017-12-08",448
1,1,"2017-12-11",448
1,1,"2017-12-12",448
1,1,"2017-12-13",448
1,1,"2017-12-14",448
1,1,"2017-12-15",448
1,1,"2017-12-18",448
1,1,"2017-12-19",448
1,1,"2017-12-20",448
1,1,"2017-12-21",448
1,1,"2017-12-22",448
1,1,"2017-12-25",448
1,1,"2017-12-26",448
1,1,"2017-12-27",448
1,1,"2017-12-28",448
1,1,"2017-12-29",448
1,1,"2018-01-01",448
1,1,"2018-01-02",448
1,1,"2018-01-03",448
1,1,"2018-01-04",448
1,1,"2018-01-05",448
1,1,"2018-01-08",448
1,1,"2018-01-09",448
1,1,"2018-01-10",448
1,1,"2018-01-11",448
1,1,"2018-01-12",448
1,1,"2018-01-15",448
1,1,"2018-01-16",448
1,1,"2018-01-17",448
1,1,"2018-01-18",448
1,1,"2018-01-19",448
1,1,"2018-01-22",448
1,1,"2018-01-23",448
1,1,"2018-01-24",448
1,1,"2018-01-25",448
1,1,"2018-01-26",448
1,1,"2018-01-29",448
1,1,"2018-01-30",448
1,1,"2018-01-31",448
1,1,"2018-02-01",448
1,1,"2018-02-02",448
1,1,"2018-02-05",448
1,1,"2018-02-06",448
1,1,"2018-02-07",448
1,1,"2018-02-08",448
1,1,"2018-02-09",448
1,1,"2018-02-12",448
1,1,"2018-02-13",448
1,1,"2018-02-14",448
1,1,"2018-02-15",448
1,1,"2018-02-16",448
1,1,"2018-02-19",448
1,1,"2018-02-20",448
1,1,"2018-02-21",448
1,1,"2018-02-22",448
1,1,"2018-02-23",448
1,1,"2018-02-26",448
1,1,"2018-02-27",448
1,1,"2018-02-28",448
1,1,"2018-03-01",448
