1,1,"06:25:00","06:30:00"
1,2,"06:36:00","06:41:00"
1,3,"06:51:00","06:56:00"
1,4,"07:21:00","07:26:00"
1,5,"07:47:00","07:52:00"
1,6,"08:05:00","08:10:00"
1,7,"08:21:00","08:26:00"
1,8,"08:41:00","08:46:00"
1,9,"09:05:00","09:10:00"
1,10,"09:43:00","09:48:00"
1,11,"10:10:00","10:15:00"
1,12,"10:42:00","10:47:00"
1,13,"11:08:00","11:13:00"
1,14,"11:42:00","11:47:00"
1,15,"12:04:00","12:09:00"
1,16,"12:14:00","12:19:00"
1,17,"12:32:00","12:37:00"
1,18,"13:00:00","13:05:00"
1,19,"13:32:00","13:37:00"
1,20,"13:58:00","14:03:00"
1,21,"14:30:00","14:35:00"
1,22,"15:00:00","15:05:00"
1,23,"15:18:00","15:23:00"
1,24,"15:37:00","15:42:00"
1,25,"15:57:00","16:02:00"
2,1,"07:55:00","08:00:00"
2,2,"08:06:00","08:11:00"
2,3,"08:21:00","08:26:00"
2,4,"08:51:00","08:56:00"
2,5,"09:17:00","09:22:00"
2,6,"09:35:00","09:40:00"
2,7,"09:51:00","09:56:00"
2,8,"10:11:00","10:16:00"
2,9,"10:35:00","10:40:00"
2,10,"11:13:00","11:18:00"
2,11,"11:40:00","11:45:00"
2,12,"12:12:00","12:17:00"
2,13,"12:38:00","12:43:00"
2,14,"13:12:00","13:17:00"
2,15,"13:34:00","13:39:00"
2,16,"13:44:00","13:49:00"
2,17,"14:02:00","14:07:00"
2,18,"14:30:00","14:35:00"
2,19,"15:02:00","15:07:00"
2,20,"15:28:00","15:33:00"
2,21,"16:00:00","16:05:00"
2,22,"16:30:00","16:35:00"
2,23,"16:48:00","16:53:00"
2,24,"17:07:00","17:12:00"
2,25,"17:27:00","17:32:00"
3,1,"09:25:00","09:30:00"
3,2,"09:36:00","09:41:00"
3,3,"09:51:00","09:56:00"
3,4,"10:21:00","10:26:00"
3,5,"10:47:00","10:52:00"
3,6,"11:05:00","11:10:00"
3,7,"11:21:00","11:26:00"
3,8,"11:41:00","11:46:00"
3,9,"12:05:00","12:10:00"
3,10,"12:43:00","12:48:00"
3,11,"13:10:00","13:15:00"
3,12,"13:42:00","13:47:00"
3,13,"14:08:00","14:13:00"
3,14,"14:42:00","14:47:00"
3,15,"15:04:00","15:09:00"
3,16,"15:14:00","15:19:00"
3,17,"15:32:00","15:37:00"
3,18,"16:00:00","16:05:00"
3,19,"16:32:00","16:37:00"
3,20,"16:58:00","17:03:00"
3,21,"17:30:00","17:35:00"
3,22,"18:00:00","18:05:00"
3,23,"18:18:00","18:23:00"
3,24,"18:37:00","18:42:00"
3,25,"18:57:00","19:02:00"
4,1,"15:55:00","16:00:00"
4,2,"16:06:00","16:11:00"
4,3,"16:21:00","16:26:00"
4,4,"16:51:00","16:56:00"
4,5,"17:17:00","17:22:00"
4,6,"17:35:00","17:40:00"
4,7,"17:51:00","17:56:00"
4,8,"18:11:00","18:16:00"
4,9,"18:35:00","18:40:00"
4,10,"19:13:00","19:18:00"
4,11,"19:40:00","19:45:00"
4,12,"20:12:00","20:17:00"
4,13,"20:38:00","20:43:00"
4,14,"21:12:00","21:17:00"
4,15,"21:34:00","21:39:00"
4,16,"21:44:00","21:49:00"
4,17,"22:02:00","22:07:00"
4,18,"22:30:00","22:35:00"
4,19,"23:02:00","23:07:00"
4,20,"23:28:00","23:33:00"
4,21,"00:00:00","00:05:00"
