1,1001,"2017-04-27",448
1,1001,"2017-04-28",448
1,1001,"2017-04-29",448
1,1001,"2017-04-30",448
1,1001,"2017-05-01",448
1,1001,"2017-05-02",448
1,1001,"2017-05-03",448
1,1001,"2017-05-04",448
1,1001,"2017-05-05",448
1,1001,"2017-05-06",448
1,1001,"2017-05-07",448
1,1001,"2017-05-08",448
1,1001,"2017-05-09",448
1,1001,"2017-05-10",448
1,1001,"2017-05-11",448
1,1001,"2017-05-12",448
1,1001,"2017-05-13",448
1,1001,"2017-05-14",448
1,1001,"2017-05-15",448
1,1001,"2017-05-16",448
1,1001,"2017-05-17",448
1,1001,"2017-05-18",448
1,1001,"2017-05-19",448
1,1001,"2017-05-20",448
1,1001,"2017-05-21",448
1,1001,"2017-05-22",448
1,1001,"2017-05-23",448
1,1001,"2017-05-24",448
1,1001,"2017-05-25",448
1,1001,"2017-05-26",448
1,1001,"2017-05-27",448
1,1001,"2017-05-28",448
1,1001,"2017-05-29",448
1,1001,"2017-05-30",448
1,1001,"2017-05-31",448
1,1001,"2017-06-01",448
1,1001,"2017-06-02",448
1,1001,"2017-06-03",448
1,1001,"2017-06-04",448
1,1001,"2017-06-05",448
1,1001,"2017-06-06",448
1,1001,"2017-06-07",448
1,1001,"2017-06-08",448
1,1001,"2017-06-09",448
1,1001,"2017-06-10",448
1,1001,"2017-06-11",448
1,1001,"2017-06-12",448
1,1001,"2017-06-13",448
1,1001,"2017-06-14",448
1,1001,"2017-06-15",448
1,1001,"2017-06-16",448
1,1001,"2017-06-17",448
1,1001,"2017-06-18",448
1,1001,"2017-06-19",448
1,1001,"2017-06-20",448
1,1001,"2017-06-21",448
1,1001,"2017-06-22",448
1,1001,"2017-06-23",448
1,1001,"2017-06-24",448
1,1001,"2017-06-25",448
1,1001,"2017-06-26",448
1,1001,"2017-06-27",448
1,1001,"2017-06-28",448
1,1001,"2017-06-29",448
1,1001,"2017-06-30",448
1,1001,"2017-07-01",448
1,1001,"2017-07-02",448
1,1001,"2017-07-03",448
1,1001,"2017-07-04",448
1,1001,"2017-07-05",448
1,1001,"2017-07-06",448
1,1001,"2017-07-07",448
1,1001,"2017-07-08",448
1,1001,"2017-07-09",448
1,1001,"2017-07-10",448
1,1001,"2017-07-11",448
1,1001,"2017-07-12",448
1,1001,"2017-07-13",448
1,1001,"2017-07-14",448
